2022-05-31T06:58:57.600Z | INFO  | CONN.CONNECT | Loading connection configuration | 
2022-05-31T06:58:57.604Z | INFO  | CONN.CONNECT | Starting VPN tunnel | 
2022-05-31T06:58:57.612Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Connecting to: 185.159.157.89 | 
2022-05-31T06:58:57.765Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Connected to: 185.159.157.89 | 
2022-05-31T06:58:57.768Z | DEBUG | USER_CERT | Loading stored vpn authentication data | 
2022-05-31T06:58:57.772Z | DEBUG | LOCAL_AGENT | Local agent connecting to ch-ie-01a.protonvpn.net | {"config":"LocalAgentConfiguration(hostname: \"ch-ie-01a.protonvpn.net\", features: vpncore.VPNConnectionFeatures(netshield: vpncore.NetShieldType.level2, vpnAccelerator: true, bouncing: Optional(\"0\"), natType: vpncore.NATType.strictNAT, safeMode: nil))"}
2022-05-31T06:58:57.773Z | INFO  | LOCAL_AGENT:LOG | LocalAgent: Connect | 
2022-05-31T06:58:57.773Z | INFO  | LOCAL_AGENT:STATE_CHANGE | Local agent shared library state reported as changed to Connecting | 
2022-05-31T06:58:57.773Z | DEBUG | LOCAL_AGENT:STATE_CHANGE | Local agent state changed to connecting | 
2022-05-31T06:58:57.773Z | DEBUG |  | Not checking features in connecting state | 
2022-05-31T06:58:57.773Z | INFO  | LOCAL_AGENT:LOG | LocalAgent: establishing tls connection... | 
2022-05-31T06:58:57.775Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"IntentionallyDisconnected","value":"false"}
2022-05-31T06:58:57.775Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-31T06:58:57.775Z | DEBUG | CONN.CONNECT | Showing state as Loading connection info because local agent not connected yet | 
2022-05-31T06:58:57.775Z | DEBUG | CONN.CONNECT | Showing state as Loading connection info because local agent not connected yet | 
2022-05-31T06:58:57.779Z | DEBUG | REVIEW | Saving new active connection timestamp and incrementing successful connections count | 
2022-05-31T06:58:57.781Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653980337.3210275"}
2022-05-31T06:58:58.459Z | ERROR | NET:RESPONSE | Request failed | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET","error":"Error Domain=NSURLErrorDomain Code=-1003 \"A server with the specified hostname could not be found.\" UserInfo={_kCFStreamErrorCodeKey=8, NSUnderlyingError=0x280cf8930 {Error Domain=kCFErrorDomainCFNetwork Code=-1003 \"(null)\" UserInfo={_NSURLErrorNWPathKey=satisfied (Path is satisfied), interface: utun3[endc_sub6], scoped, ipv4, dns, expensive, _kCFStreamErrorCodeKey=8, _kCFStreamErrorDomainKey=12}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <A670D8CF-C37A-4389-9792-EF346A4120FB>.<22>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <A670D8CF-C37A-4389-9792-EF346A4120FB>.<22>\"\n), NSLocalizedDescription=A server with the specified hostname could not be found., NSErrorFailingURLStringKey=http:\/\/protonstatus.com\/vpn_status, NSErrorFailingURLKey=http:\/\/protonstatus.com\/vpn_status, _kCFStreamErrorDomainKey=12}"}
2022-05-31T06:58:58.460Z | ERROR | UI | Error Domain=NSURLErrorDomain Code=-1003 "A server with the specified hostname could not be found." UserInfo={_kCFStreamErrorCodeKey=8, NSUnderlyingError=0x280cf8930 {Error Domain=kCFErrorDomainCFNetwork Code=-1003 "(null)" UserInfo={_NSURLErrorNWPathKey=satisfied (Path is satisfied), interface: utun3[endc_sub6], scoped, ipv4, dns, expensive, _kCFStreamErrorCodeKey=8, _kCFStreamErrorDomainKey=12}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <A670D8CF-C37A-4389-9792-EF346A4120FB>.<22>, _NSURLErrorRelatedURLSessionTaskErrorKey=(
    "LocalDataTask <A670D8CF-C37A-4389-9792-EF346A4120FB>.<22>"
), NSLocalizedDescription=A server with the specified hostname could not be found., NSErrorFailingURLStringKey=http://protonstatus.com/vpn_status, NSErrorFailingURLKey=http://protonstatus.com/vpn_status, _kCFStreamErrorDomainKey=12} | 
2022-05-31T06:58:58.820Z | INFO  | LOCAL_AGENT:LOG | LocalAgent: established tls connection | 
2022-05-31T06:58:58.820Z | INFO  | LOCAL_AGENT:LOG | LocalAgent: waiting for message... | 
2022-05-31T06:58:59.757Z | INFO  | LOCAL_AGENT:LOG | LocalAgent received: {"status": {"state": "connected", "features": {"netshield-level": 2, "split-tcp": true, "bouncing": "0", "randomized-nat": true, "port-forwarding": false, "jail": false, "safe-mode": false}}} | 
2022-05-31T06:58:59.757Z | INFO  | LOCAL_AGENT:LOG | LocalAgent: waiting for message... | 
2022-05-31T06:58:59.758Z | INFO  | LOCAL_AGENT:STATE_CHANGE | Local agent shared library state reported as changed to Connected | 
2022-05-31T06:58:59.758Z | DEBUG | LOCAL_AGENT:STATE_CHANGE | Local agent state changed to connected | 
2022-05-31T06:58:59.758Z | DEBUG | LOCAL_AGENT:STATE_CHANGE | Not checking features right after connecting | 
2022-05-31T06:59:00.201Z | ERROR | CONN.CONNECT:SCAN | Wireguard NOT available for 185.159.157.89 on port 88 (Error: Error Domain=go Code=1 "read udp 192.0.0.1:61834->185.159.157.89:88: i/o timeout" UserInfo={NSLocalizedDescription=read udp 192.0.0.1:61834->185.159.157.89:88: i/o timeout}) | 
2022-05-31T06:59:00.201Z | ERROR | CONN.CONNECT:SCAN | Wireguard NOT available for 185.159.157.89 on port 49152 (Error: Error Domain=go Code=1 "read udp 192.0.0.1:54152->185.159.157.89:49152: i/o timeout" UserInfo={NSLocalizedDescription=read udp 192.0.0.1:54152->185.159.157.89:49152: i/o timeout}) | 
2022-05-31T06:59:00.201Z | ERROR | CONN.CONNECT:SCAN | Wireguard NOT available for 185.159.157.89 on port 51820 (Error: Error Domain=go Code=1 "read udp 192.0.0.1:49637->185.159.157.89:51820: i/o timeout" UserInfo={NSLocalizedDescription=read udp 192.0.0.1:49637->185.159.157.89:51820: i/o timeout}) | 
2022-05-31T06:59:06.041Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-31T06:59:06.042Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653980346.04107","key":"LastTimeForeground"}
2022-05-31T06:59:58.038Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-31T06:59:58.039Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/servers\/J8XOGm20EYuwmfUIqgNEfJ6s2SgFLsC-ZXJp5GepciNePAYfaF_V7RnLNkf_lEgpI6xzEvhBdWW3ccb5lcIDWg==","method":"GET"}
2022-05-31T06:59:58.040Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/loads","method":"GET"}
2022-05-31T06:59:58.041Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
