2022-05-20T00:11:36.010Z | ERROR | NET:RESPONSE | Request failed | {"error":"Error Domain=NSURLErrorDomain Code=-1001 \"The request timed out.\" UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x282ca9ad0 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 \"(null)\" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <B8F2AC49-ED5B-4C30-B73A-3C7D53B89A0C>.<55>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <B8F2AC49-ED5B-4C30-B73A-3C7D53B89A0C>.<55>\"\n), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn, _kCFStreamErrorDomainKey=4}","method":"GET","url":"https:\/\/api.protonvpn.ch\/vpn"}
2022-05-20T02:45:09.644Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/servers\/0Q-bf5ZERFG7hxj6tq9Ins5FlYr_SgbcaMqHsstVmPu0p-sgHLOkRcnjRCeVrIzfenXm-PSBHOi3P_5No5TEGQ==","method":"GET"}
2022-05-20T02:45:09.644Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/loads","method":"GET"}
2022-05-20T02:45:09.651Z | ERROR | NET:RESPONSE | Request failed | {"url":"https:\/\/api.protonvpn.ch\/vpn\/servers\/0Q-bf5ZERFG7hxj6tq9Ins5FlYr_SgbcaMqHsstVmPu0p-sgHLOkRcnjRCeVrIzfenXm-PSBHOi3P_5No5TEGQ==","method":"GET","error":"Error Domain=NSURLErrorDomain Code=-1001 \"The request timed out.\" UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x282c28570 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 \"(null)\" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <861513FA-0BA1-4DF9-B536-92A274B6D8DC>.<67>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <861513FA-0BA1-4DF9-B536-92A274B6D8DC>.<67>\"\n), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn\/servers\/0Q-bf5ZERFG7hxj6tq9Ins5FlYr_SgbcaMqHsstVmPu0p-sgHLOkRcnjRCeVrIzfenXm-PSBHOi3P_5No5TEGQ==, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn\/servers\/0Q-bf5ZERFG7hxj6tq9Ins5FlYr_SgbcaMqHsstVmPu0p-sgHLOkRcnjRCeVrIzfenXm-PSBHOi3P_5No5TEGQ==, _kCFStreamErrorDomainKey=4}"}
2022-05-20T02:45:09.651Z | ERROR | APP | Checking for server maintenance failed | {"error":"Error Domain=NSURLErrorDomain Code=-1001 \"The request timed out.\" UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x282c28570 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 \"(null)\" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <861513FA-0BA1-4DF9-B536-92A274B6D8DC>.<67>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <861513FA-0BA1-4DF9-B536-92A274B6D8DC>.<67>\"\n), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn\/servers\/0Q-bf5ZERFG7hxj6tq9Ins5FlYr_SgbcaMqHsstVmPu0p-sgHLOkRcnjRCeVrIzfenXm-PSBHOi3P_5No5TEGQ==, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn\/servers\/0Q-bf5ZERFG7hxj6tq9Ins5FlYr_SgbcaMqHsstVmPu0p-sgHLOkRcnjRCeVrIzfenXm-PSBHOi3P_5No5TEGQ==, _kCFStreamErrorDomainKey=4}"}
2022-05-20T02:45:09.652Z | ERROR | NET:RESPONSE | Request failed | {"error":"Error Domain=NSURLErrorDomain Code=-1001 \"The request timed out.\" UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x282c2bc90 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 \"(null)\" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <4A3E6BB9-AF74-46E7-A4A5-C553618631DB>.<68>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <4A3E6BB9-AF74-46E7-A4A5-C553618631DB>.<68>\"\n), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn\/loads, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn\/loads, _kCFStreamErrorDomainKey=4}","url":"https:\/\/api.protonvpn.ch\/vpn\/loads","method":"GET"}
2022-05-20T02:45:09.652Z | ERROR | APP | RefreshServerLoads error | {"error":"Error Domain=NSURLErrorDomain Code=-1001 \"The request timed out.\" UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x282c2bc90 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 \"(null)\" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <4A3E6BB9-AF74-46E7-A4A5-C553618631DB>.<68>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <4A3E6BB9-AF74-46E7-A4A5-C553618631DB>.<68>\"\n), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn\/loads, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn\/loads, _kCFStreamErrorDomainKey=4}"}
2022-05-20T02:45:09.652Z | ERROR | NET:RESPONSE | Request failed | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET","error":"Error Domain=NSURLErrorDomain Code=-1001 \"The request timed out.\" UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x282c2bdb0 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 \"(null)\" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <B62BE8C4-A7E5-4866-B946-2C3A73B32588>.<69>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <B62BE8C4-A7E5-4866-B946-2C3A73B32588>.<69>\"\n), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn, _kCFStreamErrorDomainKey=4}"}
2022-05-20T02:45:09.652Z | ERROR | APP | RefreshAccount error | {"error":"Error Domain=NSURLErrorDomain Code=-1001 \"The request timed out.\" UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x282c2bdb0 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 \"(null)\" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <B62BE8C4-A7E5-4866-B946-2C3A73B32588>.<69>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <B62BE8C4-A7E5-4866-B946-2C3A73B32588>.<69>\"\n), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn, _kCFStreamErrorDomainKey=4}"}
2022-05-20T02:45:09.954Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-20T02:45:09.956Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
